index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
20990,0.32,Ideal,E,VVS1,62.2,55.0,4.37,4.41,2.73,2022
20991,0.32,Ideal,F,VVS1,61.0,56.0,4.42,4.47,2.71,2022
20992,0.33,Ideal,F,VVS1,60.6,59.0,4.45,4.5,2.71,2022
20993,0.31,Ideal,F,VVS1,62.1,54.0,4.35,4.38,2.71,2022
20994,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,2022
20995,0.44,Ideal,J,VS2,62.3,54.0,4.89,4.86,3.04,2022
20996,0.39,Ideal,F,VS2,62.1,53.0,4.73,4.77,2.95,2022
20997,0.32,Ideal,D,VS2,61.0,56.0,4.41,4.44,2.7,2022
20998,0.4,Ideal,I,VS1,62.0,54.0,4.72,4.75,2.94,2022
20999,0.36,Ideal,E,VS1,62.0,55.0,4.58,4.6,2.85,2022
21000,0.28,Ideal,F,IF,62.4,55.0,4.2,4.17,2.61,2022
21001,0.28,Ideal,E,VVS2,60.3,57.0,4.25,4.21,2.55,2022
21002,0.28,Premium,E,VVS1,61.1,60.0,4.21,4.17,2.56,2022
21003,0.32,Ideal,G,VS1,60.8,57.0,4.42,4.39,2.68,2022
21004,0.32,Good,F,VS2,63.6,57.0,4.37,4.34,2.77,2022
21005,0.32,Premium,H,VVS2,61.0,58.0,4.44,4.41,2.7,2022
21006,0.32,Premium,H,VVS2,60.2,60.0,4.48,4.45,2.69,2022
21007,0.32,Premium,H,VVS2,62.3,58.0,4.37,4.33,2.71,2022
21008,0.32,Ideal,H,VVS2,61.9,55.0,4.39,4.37,2.71,2022
21009,0.32,Ideal,H,VVS2,61.7,56.0,4.42,4.37,2.71,2022
21010,0.32,Ideal,H,VVS2,61.8,55.0,4.42,4.38,2.72,2022
21011,0.32,Ideal,H,VVS2,61.8,55.0,4.42,4.38,2.72,2022
21012,0.32,Ideal,H,VVS2,62.0,55.0,4.42,4.39,2.73,2022
21013,0.32,Ideal,H,VVS2,61.2,56.0,4.43,4.4,2.7,2022
21014,0.32,Ideal,G,VS1,61.3,55.0,4.46,4.42,2.72,2022
21015,0.32,Ideal,G,VS1,60.5,56.0,4.44,4.42,2.68,2022
21016,0.32,Ideal,G,VS1,61.8,55.0,4.45,4.42,2.74,2022
21017,0.32,Premium,G,VS1,62.1,56.0,4.43,4.4,2.74,2022
21018,0.32,Premium,G,VS1,60.6,60.0,4.44,4.4,2.68,2022
21019,0.32,Ideal,G,VS1,61.2,56.0,4.45,4.41,2.71,2022
21020,0.32,Ideal,G,VS1,61.2,57.0,4.43,4.4,2.7,2022
21021,0.32,Premium,G,VS1,61.0,59.0,4.43,4.39,2.69,2022
21022,0.32,Ideal,G,VS1,61.9,55.0,4.43,4.39,2.73,2022
21023,0.32,Ideal,G,VS1,61.6,57.0,4.42,4.38,2.71,2022
21024,0.32,Ideal,G,VS1,62.9,57.0,4.4,4.37,2.76,2022
21025,0.32,Ideal,G,VS1,63.0,55.0,4.38,4.35,2.75,2022
21026,0.32,Ideal,G,VS1,62.0,56.0,4.39,4.35,2.71,2022
21027,0.32,Premium,G,VS1,62.4,58.0,4.4,4.35,2.73,2022
21028,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,2022
21029,0.32,Ideal,G,VS1,62.3,54.0,4.39,4.37,2.73,2022
21030,0.32,Very Good,G,VS1,63.2,55.0,4.39,4.37,2.77,2022
21031,0.32,Premium,G,VS1,62.8,58.0,4.39,4.34,2.74,2022
21032,0.32,Premium,F,VS2,59.4,58.0,4.48,4.44,2.65,2022
21033,0.32,Ideal,F,VS2,61.1,57.0,4.47,4.44,2.72,2022
21034,0.32,Premium,F,VS2,59.5,61.0,4.46,4.42,2.64,2022
21035,0.32,Premium,F,VS2,60.7,58.0,4.45,4.41,2.69,2022
21036,0.32,Ideal,F,VS2,61.9,56.0,4.44,4.41,2.74,2022
21037,0.32,Premium,F,VS2,60.8,58.0,4.44,4.41,2.69,2022
21038,0.32,Ideal,F,VS2,61.2,56.0,4.44,4.41,2.71,2022
21039,0.32,Premium,F,VS2,59.7,59.0,4.44,4.41,2.64,2022
21040,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,2022
21041,0.32,Ideal,F,VS2,61.3,56.0,4.43,4.41,2.71,2022
21042,0.32,Ideal,F,VS2,62.4,55.0,4.43,4.41,2.76,2022
21043,0.32,Ideal,F,VS2,61.1,57.0,4.44,4.4,2.7,2022
21044,0.32,Premium,F,VS2,61.2,59.0,4.42,4.4,2.7,2022
21045,0.32,Ideal,F,VS2,61.5,56.0,4.42,4.4,2.71,2022
21046,0.32,Ideal,F,VS2,61.5,55.0,4.42,4.4,2.71,2022
21047,0.32,Premium,F,VS2,60.2,59.0,4.43,4.4,2.66,2022
21048,0.32,Ideal,F,VS2,61.6,57.0,4.43,4.4,2.72,2022
21049,0.32,Ideal,F,VS2,61.6,55.0,4.43,4.4,2.72,2022
21050,0.32,Premium,F,VS2,60.6,59.0,4.44,4.4,2.68,2022
21051,0.32,Ideal,F,VS2,61.7,55.0,4.41,4.4,2.72,2022
21052,0.32,Premium,F,VS2,61.5,58.0,4.42,4.39,2.71,2022
21053,0.32,Premium,F,VS2,61.1,58.0,4.42,4.39,2.69,2022
21054,0.32,Premium,F,VS2,61.4,60.0,4.42,4.38,2.7,2022
21055,0.32,Ideal,F,VS2,62.6,55.0,4.41,4.38,2.75,2022
21056,0.32,Premium,F,VS2,61.7,58.0,4.41,4.38,2.71,2022
21057,0.32,Ideal,F,VS2,62.3,56.0,4.4,4.37,2.73,2022
21058,0.32,Ideal,F,VS2,61.3,57.0,4.4,4.37,2.69,2022
21059,0.32,Ideal,F,VS2,62.4,56.0,4.37,4.35,2.72,2022
21060,0.32,Ideal,F,VS2,62.8,57.0,4.36,4.33,2.73,2022
21061,0.32,Ideal,F,VS2,62.4,57.0,4.38,4.34,2.72,2022
21062,0.32,Ideal,F,VS2,62.8,53.0,4.38,4.34,2.74,2022
21063,0.3,Ideal,F,VS2,60.5,56.0,4.37,4.33,2.63,2022
21064,0.32,Ideal,G,VS1,61.2,56.0,4.43,4.39,2.7,2022
21065,0.32,Ideal,F,VS2,62.5,56.0,4.4,4.37,2.74,2022
21066,0.44,Premium,G,VS2,60.6,58.0,4.9,4.96,2.99,2022
21067,0.4,Very Good,J,IF,62.2,61.0,4.68,4.71,2.92,2022
21068,0.4,Ideal,J,IF,62.4,56.0,4.71,4.74,2.95,2022
21069,0.33,Ideal,F,VVS1,62.1,56.0,4.43,4.46,2.76,2022
21070,0.4,Ideal,J,IF,62.6,56.0,4.71,4.75,2.96,2022
21071,0.32,Premium,D,VS2,58.8,59.0,4.52,4.49,2.65,2022
21072,0.44,Very Good,F,SI1,62.8,59.0,4.88,4.91,3.07,2022
21073,0.42,Very Good,I,SI1,63.5,54.0,4.76,4.72,3.01,2022
21074,0.33,Premium,E,VS2,62.0,60.0,4.46,4.41,2.75,2022
21075,0.33,Ideal,F,VVS1,62.0,59.0,4.42,4.45,2.75,2022
21076,0.42,Ideal,G,SI2,60.7,57.0,4.87,4.84,2.95,2022
21077,0.34,Ideal,E,VS2,62.2,57.0,4.46,4.42,2.76,2022
21078,0.35,Ideal,E,VS1,62.3,56.0,4.5,4.52,2.81,2022
21079,0.35,Ideal,D,VS2,62.5,55.0,4.5,4.55,2.83,2022
21080,0.35,Ideal,D,VS2,62.3,55.0,4.52,4.54,2.82,2022
21081,0.35,Premium,D,VS2,61.9,58.0,4.51,4.6,2.82,2022
21082,0.35,Very Good,E,VS1,62.3,60.0,4.5,4.52,2.81,2022
21083,0.35,Ideal,D,VS2,60.6,56.0,4.54,4.57,2.76,2022
21084,0.35,Ideal,D,VS2,61.9,55.0,4.5,4.54,2.8,2022
21085,0.35,Premium,D,VS2,60.4,58.0,4.53,4.58,2.75,2022
21086,0.35,Ideal,D,VS2,61.8,55.0,4.53,4.56,2.81,2022
21087,0.35,Ideal,E,VS1,61.6,57.0,4.5,4.53,2.78,2022
21088,0.35,Premium,E,VS1,60.8,58.0,4.55,4.58,2.78,2022
21089,0.35,Ideal,D,VS2,61.3,56.0,4.54,4.56,2.79,2022
21090,0.35,Ideal,D,VS2,60.9,57.0,4.51,4.55,2.76,2022
21091,0.35,Ideal,E,VS1,61.2,56.0,4.53,4.55,2.78,2022
21092,0.35,Ideal,E,VS1,61.9,56.0,4.51,4.53,2.8,2022
21093,0.35,Ideal,D,VS2,62.0,55.0,4.47,4.53,2.79,2022
21094,0.35,Premium,D,VS2,59.7,58.0,4.57,4.61,2.74,2022
21095,0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.36,2.69,2022
21096,0.35,Ideal,F,VVS2,62.5,56.0,4.51,4.55,2.83,2022
21097,0.42,Ideal,H,VS1,61.8,55.0,4.82,4.85,2.99,2022
21098,0.46,Fair,H,VS2,65.6,58.0,4.8,4.84,3.16,2022
21099,0.41,Premium,J,VS1,62.0,55.0,4.77,4.74,2.95,2022
21100,0.41,Premium,J,VS1,62.1,58.0,4.79,4.75,2.96,2022
21101,0.41,Ideal,J,VS1,62.7,57.0,4.75,4.72,2.97,2022
21102,0.41,Good,J,VS1,63.7,56.0,4.71,4.68,2.99,2022
21103,0.41,Premium,F,SI2,60.8,58.0,4.83,4.78,2.92,2022
21104,0.45,Premium,I,SI2,60.1,59.0,4.96,4.92,3.02,2022
21105,0.43,Premium,D,SI1,60.1,58.0,4.89,4.93,2.95,2022
21106,0.43,Premium,D,SI1,61.1,59.0,4.83,4.89,2.97,2022
21107,0.43,Premium,D,SI1,61.2,58.0,4.83,4.87,2.97,2022
21108,0.38,Very Good,D,SI1,62.2,53.8,4.65,4.69,2.9,2022
21109,0.3,Very Good,F,VVS1,62.2,56.0,4.28,4.3,2.67,2022
21110,0.39,Very Good,F,VS2,60.1,56.0,4.77,4.82,2.88,2022
21111,0.36,Very Good,D,VS1,59.0,57.0,4.71,4.74,2.79,2022
21112,0.38,Ideal,H,VVS2,62.2,54.6,4.62,4.66,2.89,2022
21113,0.38,Ideal,H,VVS2,62.1,53.9,4.64,4.69,2.9,2022
21114,0.38,Ideal,H,VVS2,62.3,53.3,4.65,4.69,2.91,2022
21115,0.44,Premium,F,SI2,62.8,60.0,4.86,4.82,3.04,2022
21116,0.41,Very Good,E,VS2,62.7,58.0,4.68,4.73,2.95,2022
21117,0.35,Very Good,G,IF,62.1,56.0,4.54,4.57,2.82,2022
21118,0.42,Ideal,I,SI1,61.8,55.0,4.81,4.83,2.98,2022
21119,0.37,Ideal,G,VS2,61.3,57.0,4.64,4.6,2.83,2022
21120,0.37,Premium,E,SI1,59.9,59.0,4.7,4.68,2.81,2022
21121,0.37,Premium,H,VS1,60.9,60.0,4.63,4.6,2.81,2022
21122,0.37,Premium,G,VS2,60.1,59.0,4.68,4.64,2.8,2022
21123,0.37,Premium,G,VS2,60.7,57.0,4.69,4.64,2.83,2022
21124,0.37,Premium,G,VS2,59.3,60.0,4.71,4.67,2.78,2022
21125,0.37,Ideal,G,VS2,61.5,56.0,4.64,4.59,2.84,2022
21126,0.37,Ideal,G,VS2,62.2,57.0,4.64,4.59,2.87,2022
21127,0.37,Ideal,G,VS2,60.8,57.0,4.66,4.61,2.82,2022
21128,0.31,Very Good,G,SI1,58.8,62.0,4.39,4.42,2.59,2022
21129,0.31,Very Good,G,SI1,61.7,55.0,4.37,4.38,2.7,2022
21130,0.31,Very Good,D,SI2,61.5,60.0,4.31,4.34,2.66,2022
21131,0.31,Ideal,D,SI2,61.3,56.0,4.36,4.41,2.69,2022
21132,0.31,Good,D,SI2,63.1,54.0,4.33,4.38,2.75,2022
21133,0.31,Ideal,D,SI2,62.3,56.0,4.35,4.38,2.72,2022
21134,0.31,Ideal,D,SI2,62.0,56.0,4.33,4.35,2.69,2022
21135,0.31,Ideal,D,SI2,62.6,57.0,4.27,4.35,2.7,2022
21136,0.31,Very Good,D,SI2,62.9,59.0,4.28,4.31,2.7,2022
21137,0.31,Good,D,SI2,63.7,55.0,4.32,4.35,2.76,2022
21138,0.31,Premium,G,SI1,60.7,60.0,4.34,4.36,2.64,2022
21139,0.31,Premium,G,SI1,62.6,58.0,4.29,4.34,2.7,2022
21140,0.31,Premium,G,SI1,61.4,58.0,4.31,4.35,2.66,2022
21141,0.31,Good,G,SI1,63.1,59.0,4.29,4.33,2.72,2022
21142,0.31,Very Good,G,SI1,61.9,56.0,4.34,4.38,2.7,2022
21143,0.27,Very Good,E,VS1,62.3,54.0,4.17,4.21,2.61,2022
21144,0.33,Ideal,G,SI2,61.7,55.0,4.46,4.48,2.76,2022
21145,0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,2022
21146,0.33,Premium,E,SI2,59.7,58.0,4.48,4.53,2.69,2022
21147,0.33,Premium,I,VS2,60.6,58.0,4.44,4.47,2.7,2022
21148,0.33,Very Good,H,SI1,63.0,56.0,4.41,4.42,2.78,2022
21149,0.37,Premium,G,VS2,62.8,60.0,4.59,4.55,2.87,2022
21150,0.37,Premium,G,VS2,61.2,60.0,4.63,4.58,2.82,2022
21151,0.37,Premium,E,SI1,59.3,58.0,4.75,4.73,2.81,2022
21152,0.37,Premium,E,SI1,61.8,58.0,4.64,4.59,2.85,2022
21153,0.38,Premium,G,VS1,61.9,59.0,4.63,4.67,2.88,2022
21154,0.38,Premium,G,VS1,61.9,58.0,4.62,4.66,2.87,2022
21155,0.38,Ideal,G,VS1,61.8,56.0,4.64,4.65,2.87,2022
21156,0.38,Premium,H,VVS2,62.0,58.0,4.62,4.64,2.87,2022
21157,0.38,Ideal,H,VVS2,61.4,57.0,4.63,4.65,2.85,2022
21158,0.38,Very Good,G,VS1,61.9,56.0,4.63,4.68,2.88,2022
21159,0.38,Ideal,G,VS1,60.8,56.0,4.66,4.71,2.85,2022
21160,0.41,Very Good,G,VS2,60.5,56.0,4.81,4.85,2.92,2022
21161,0.32,Ideal,D,VVS2,61.7,57.0,4.39,4.42,2.72,2022
21162,0.38,Ideal,H,SI1,61.2,56.0,4.68,4.63,2.85,2022
21163,0.39,Ideal,I,VS2,62.9,57.0,4.68,4.64,2.93,2022
21164,0.39,Premium,E,SI2,63.0,61.0,4.65,4.62,2.92,2022
21165,0.3,Ideal,D,VS1,62.2,56.0,4.31,4.27,2.67,2022
21166,0.35,Very Good,D,VVS2,60.0,58.0,4.57,4.59,2.75,2022
21167,0.41,Very Good,G,VS2,62.7,60.0,4.71,4.75,2.96,2022
21168,0.38,Very Good,F,VS1,60.4,60.0,4.7,4.74,2.85,2022
21169,0.36,Ideal,E,VS1,61.4,54.0,4.59,4.63,2.83,2022
21170,0.35,Very Good,E,VVS1,63.0,59.0,4.44,4.48,2.81,2022
21171,0.41,Ideal,G,SI2,61.0,57.0,4.82,4.79,2.93,2022
21172,0.41,Premium,H,SI2,62.2,56.0,4.8,4.72,2.96,2022
21173,0.32,Ideal,E,VVS2,60.9,55.0,4.41,4.43,2.69,2022
21174,0.32,Ideal,E,VVS2,60.8,56.0,4.43,4.45,2.7,2022
21175,0.3,Ideal,E,VVS2,61.4,55.0,4.32,4.34,2.66,2022
21176,0.3,Ideal,E,VVS2,61.3,54.0,4.34,4.37,2.67,2022
21177,0.31,Ideal,I,IF,62.2,54.0,4.39,4.36,2.72,2022
21178,0.31,Ideal,I,IF,61.3,57.0,4.4,4.34,2.68,2022
21179,0.31,Premium,E,VVS2,60.5,57.0,4.41,4.39,2.66,2022
21180,0.31,Ideal,E,VVS2,61.6,56.0,4.35,4.39,2.69,2022
21181,0.43,Very Good,I,VVS2,60.5,59.0,4.86,4.89,2.95,2022
21182,0.41,Very Good,D,SI1,63.0,59.0,4.73,4.76,2.99,2022
21183,0.33,Very Good,H,IF,61.2,56.0,4.46,4.5,2.74,2022
21184,0.34,Ideal,E,VVS2,61.8,56.0,4.48,4.52,2.78,2022
21185,0.33,Ideal,G,VVS1,61.6,55.0,4.46,4.47,2.75,2022
21186,0.33,Ideal,G,VVS1,61.8,55.0,4.47,4.5,2.77,2022
21187,0.33,Ideal,G,VVS1,61.7,54.0,4.46,4.49,2.76,2022
21188,0.33,Ideal,G,VVS1,61.7,55.0,4.44,4.48,2.75,2022
21189,0.33,Ideal,G,VVS1,61.7,55.0,4.48,4.5,2.77,2022
21190,0.33,Ideal,G,VVS1,61.1,56.0,4.47,4.5,2.74,2022
21191,0.33,Ideal,G,VVS1,62.0,55.0,4.45,4.49,2.77,2022
21192,0.3,Ideal,E,VVS1,61.6,56.0,4.3,4.34,2.66,2022
21193,0.3,Ideal,E,VVS1,61.2,58.0,4.28,4.31,2.63,2022
21194,0.3,Ideal,E,VVS1,61.6,55.0,4.34,4.36,2.68,2022
21195,0.3,Ideal,E,VVS1,61.6,56.0,4.31,4.32,2.66,2022
21196,0.42,Ideal,F,SI1,61.6,55.0,4.85,4.83,2.98,2022
21197,0.33,Ideal,H,IF,61.1,56.0,4.47,4.5,2.74,2022
21198,0.33,Ideal,H,IF,61.4,54.0,4.47,4.49,2.75,2022
21199,0.33,Ideal,H,IF,61.8,54.0,4.47,4.49,2.77,2022
21200,0.33,Ideal,H,IF,62.0,55.0,4.46,4.48,2.77,2022
21201,0.42,Good,H,SI1,63.6,57.0,4.79,4.74,3.03,2022
21202,0.42,Premium,E,SI2,60.1,58.0,4.91,4.87,2.94,2022
21203,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,2022
21204,0.38,Premium,F,SI1,62.0,58.0,4.63,4.6,2.86,2022
21205,0.38,Ideal,E,SI1,61.4,57.0,4.67,4.64,2.86,2022
21206,0.37,Ideal,F,VVS2,60.7,57.0,4.67,4.69,2.84,2022
21207,0.37,Ideal,F,VVS2,60.0,59.0,4.64,4.66,2.79,2022
21208,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,2022
21209,0.39,Ideal,E,VS2,60.5,56.0,4.75,4.77,2.88,2022
21210,0.31,Ideal,G,IF,61.6,56.0,4.37,4.4,2.7,2022
21211,0.41,Very Good,G,VS1,58.9,60.0,4.84,4.87,2.86,2022
21212,0.33,Ideal,D,VS1,61.0,56.0,4.45,4.47,2.72,2022
21213,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,2022
21214,0.31,Ideal,D,VVS2,62.2,54.0,4.34,4.38,2.71,2022
21215,0.31,Ideal,F,VVS1,61.1,55.0,4.38,4.39,2.68,2022
21216,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,2022
21217,0.31,Ideal,F,VVS1,62.0,54.0,4.37,4.41,2.72,2022
21218,0.31,Ideal,F,VVS1,62.3,54.0,4.34,4.36,2.71,2022
21219,0.31,Ideal,F,VVS1,62.2,53.0,4.35,4.37,2.71,2022
21220,0.35,Ideal,E,VS1,62.0,53.6,4.53,4.55,2.81,2022
21221,0.31,Ideal,G,IF,61.5,57.0,4.35,4.37,2.68,2022
21222,0.4,Fair,G,SI1,64.7,55.0,4.68,4.65,3.02,2022
21223,0.4,Premium,G,SI1,59.6,61.0,4.76,4.74,2.83,2022
21224,0.4,Very Good,G,SI1,63.3,58.0,4.69,4.66,2.96,2022
21225,0.4,Ideal,I,VS2,61.4,58.0,4.78,4.73,2.92,2022
21226,0.5,Premium,E,I1,60.7,61.0,5.14,5.05,3.09,2022
21227,0.32,Ideal,F,VVS1,61.7,56.0,4.38,4.41,2.71,2022
21228,0.48,Ideal,G,SI2,62.0,54.0,5.04,5.06,3.13,2022
21229,0.48,Ideal,I,SI1,62.5,54.0,5.04,5.07,3.16,2022
21230,0.35,Very Good,G,VVS1,61.2,57.0,4.55,4.58,2.79,2022
21231,0.35,Very Good,F,VS1,60.3,58.6,4.56,4.59,2.76,2022
21232,0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,2022
21233,0.32,Ideal,G,VVS1,61.9,56.0,4.39,4.4,2.72,2022
21234,0.32,Very Good,G,VVS1,61.9,58.0,4.36,4.39,2.71,2022
21235,0.4,Ideal,F,VS2,62.7,56.0,4.73,4.77,2.98,2022
21236,0.32,Premium,H,IF,61.2,58.0,4.37,4.39,2.68,2022
21237,0.4,Premium,F,VS2,62.1,58.0,4.71,4.76,2.94,2022
21238,0.4,Premium,I,VVS1,60.8,58.0,4.76,4.78,2.9,2022
21239,0.32,Ideal,H,IF,60.9,56.0,4.41,4.42,2.69,2022
21240,0.32,Premium,G,VVS1,62.6,58.0,4.38,4.41,2.75,2022
21241,0.32,Ideal,G,VVS1,61.1,57.0,4.41,4.43,2.7,2022
21242,0.32,Premium,E,VVS2,61.1,58.0,4.42,4.45,2.71,2022
21243,0.4,Premium,I,VVS1,62.7,59.0,4.67,4.71,2.94,2022
21244,0.4,Premium,F,VS2,62.6,58.0,4.68,4.72,2.94,2022
21245,0.32,Ideal,E,VVS2,62.3,56.0,4.37,4.4,2.73,2022
21246,0.32,Ideal,E,VVS2,61.5,57.0,4.4,4.41,2.71,2022
21247,0.32,Ideal,G,VVS1,61.1,53.0,4.4,4.44,2.7,2022
21248,0.4,Premium,F,VS2,61.0,59.0,4.71,4.76,2.89,2022
21249,0.32,Ideal,E,VVS2,62.0,55.0,4.38,4.4,2.72,2022
21250,0.4,Premium,F,VS2,61.0,58.0,4.72,4.79,2.9,2022
21251,0.32,Ideal,G,VVS1,62.4,55.0,4.37,4.38,2.73,2022
21252,0.4,Premium,F,VS2,59.7,58.0,4.79,4.83,2.87,2022
21253,0.32,Ideal,G,VVS1,62.4,56.0,4.36,4.39,2.73,2022
21254,0.4,Premium,F,VS2,59.3,59.0,4.79,4.83,2.85,2022
21255,0.32,Ideal,E,VVS2,61.6,57.0,4.4,4.43,2.72,2022
21256,0.4,Good,I,VVS1,63.5,57.0,4.65,4.68,2.96,2022
21257,0.32,Premium,E,VVS2,59.9,58.0,4.45,4.5,2.68,2022
21258,0.4,Premium,F,VS2,61.6,58.0,4.75,4.8,2.94,2022
21259,0.4,Very Good,I,VVS1,61.5,58.0,4.7,4.76,2.91,2022
21260,0.32,Ideal,G,VVS1,62.0,57.0,4.38,4.42,2.73,2022
21261,0.37,Very Good,E,VVS2,59.3,58.0,4.68,4.73,2.79,2022
21262,0.42,Very Good,H,VS2,59.0,57.0,4.92,4.95,2.91,2022
21263,0.41,Ideal,I,VVS2,62.4,57.0,4.68,4.75,2.94,2022
21264,0.32,Ideal,E,VVS2,61.9,54.0,4.41,4.44,2.74,2022
21265,0.43,Very Good,G,VS2,61.0,56.0,4.87,4.89,2.98,2022
21266,0.34,Ideal,G,VVS1,61.5,56.0,4.47,4.5,2.75,2022
21267,0.3,Ideal,E,VVS1,62.0,57.0,4.29,4.32,2.67,2022
21268,0.53,Ideal,I,SI2,61.8,55.0,5.22,5.26,3.24,2022
21269,0.38,Ideal,F,SI1,60.9,55.0,4.7,4.72,2.87,2022
21270,0.38,Ideal,E,SI1,61.1,55.0,4.69,4.73,2.88,2022
21271,0.34,Ideal,H,IF,61.6,55.0,4.51,4.55,2.78,2022
21272,0.3,Ideal,G,IF,61.0,56.0,4.34,4.37,2.65,2022
21273,0.3,Ideal,G,IF,61.8,57.0,4.28,4.31,2.65,2022
21274,0.3,Ideal,F,VS1,62.0,55.0,4.34,4.3,2.68,2022
21275,0.3,Premium,F,VS1,61.9,59.0,4.3,4.26,2.65,2022
21276,0.3,Ideal,F,VS1,61.4,56.0,4.37,4.33,2.67,2022
21277,0.3,Premium,F,VS1,60.5,60.0,4.31,4.29,2.6,2022
21278,0.3,Premium,E,VS2,59.2,59.0,4.41,4.37,2.6,2022
21279,0.3,Premium,E,VS2,60.0,60.0,4.4,4.36,2.63,2022
21280,0.3,Ideal,E,VS2,60.2,57.0,4.38,4.36,2.63,2022
21281,0.3,Ideal,E,VS2,61.0,56.0,4.36,4.33,2.65,2022
21282,0.3,Premium,E,VS2,59.9,59.0,4.38,4.33,2.61,2022
21283,0.3,Premium,E,VS2,61.8,58.0,4.36,4.31,2.68,2022
21284,0.3,Ideal,E,VS2,61.4,55.0,4.34,4.32,2.66,2022
21285,0.3,Premium,E,VS2,61.7,58.0,4.34,4.32,2.67,2022
21286,0.3,Ideal,E,VS2,62.1,55.0,4.35,4.32,2.69,2022
21287,0.3,Ideal,E,VS2,61.8,55.0,4.35,4.33,2.68,2022
21288,0.3,Ideal,E,VS2,61.8,56.0,4.33,4.31,2.67,2022
21289,0.3,Ideal,E,VS2,61.2,55.0,4.35,4.31,2.65,2022
21290,0.3,Ideal,E,VS2,61.8,57.0,4.34,4.3,2.67,2022
21291,0.3,Ideal,E,VS2,62.0,56.0,4.34,4.3,2.68,2022
21292,0.3,Ideal,E,VS2,62.3,56.0,4.34,4.3,2.69,2022
21293,0.3,Ideal,E,VS2,62.0,55.0,4.35,4.3,2.68,2022
21294,0.3,Ideal,E,VS2,61.7,55.0,4.32,4.3,2.66,2022
21295,0.3,Ideal,E,VS2,62.1,55.0,4.33,4.3,2.68,2022
21296,0.3,Premium,E,VS2,60.7,59.0,4.33,4.3,2.62,2022
21297,0.3,Ideal,E,VS2,62.6,56.0,4.33,4.29,2.7,2022
21298,0.3,Premium,E,VS2,61.9,59.0,4.33,4.29,2.67,2022
21299,0.3,Ideal,E,VS2,62.6,54.0,4.33,4.29,2.7,2022
21300,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,2022
21301,0.3,Ideal,E,VS2,62.8,56.0,4.32,4.28,2.7,2022
21302,0.3,Ideal,E,VS2,62.3,57.0,4.32,4.29,2.68,2022
21303,0.3,Ideal,E,VS2,61.3,57.0,4.33,4.29,2.64,2022
21304,0.3,Ideal,E,VS2,62.3,56.0,4.32,4.28,2.68,2022
21305,0.3,Premium,E,VS2,62.3,58.0,4.32,4.28,2.68,2022
21306,0.3,Ideal,E,VS2,62.6,54.0,4.31,4.28,2.69,2022
21307,0.3,Premium,E,VS2,61.9,61.0,4.32,4.28,2.66,2022
21308,0.3,Premium,E,VS2,62.0,59.0,4.31,4.27,2.66,2022
21309,0.3,Ideal,E,VS2,62.2,56.0,4.3,4.28,2.67,2022
21310,0.3,Ideal,E,VS2,62.5,56.0,4.3,4.28,2.68,2022
21311,0.3,Ideal,E,VS2,61.5,55.0,4.31,4.28,2.64,2022
21312,0.3,Ideal,E,VS2,62.0,55.0,4.31,4.27,2.66,2022
21313,0.3,Premium,E,VS2,62.6,58.0,4.3,4.26,2.68,2022
21314,0.3,Premium,E,VS2,62.4,59.0,4.3,4.26,2.67,2022
21315,0.3,Ideal,E,VS2,62.0,55.0,4.3,4.25,2.65,2022
21316,0.3,Ideal,E,VS2,62.1,56.0,4.31,4.25,2.66,2022
21317,0.3,Premium,E,VS2,61.8,58.0,4.28,4.26,2.64,2022
21318,0.3,Premium,E,VS2,62.6,58.0,4.28,4.25,2.67,2022
21319,0.3,Premium,E,VS2,62.8,59.0,4.26,4.24,2.67,2022
21320,0.3,Premium,E,VS2,62.2,60.0,4.28,4.24,2.65,2022
21321,0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,2022
21322,0.3,Premium,E,VS2,62.0,60.0,4.26,4.23,2.63,2022
21323,0.3,Ideal,E,VS2,62.4,57.0,4.26,4.24,2.65,2022
21324,0.47,Good,E,SI2,56.5,62.0,5.17,5.09,2.9,2022
21325,0.37,Ideal,F,SI1,60.2,53.0,4.74,4.7,2.84,2022
21326,0.3,Premium,E,VS2,62.5,59.0,4.3,4.27,2.68,2022
21327,0.3,Ideal,E,VS2,62.6,56.0,4.34,4.29,2.7,2022
21328,0.37,Ideal,E,VVS2,62.2,56.0,4.6,4.63,2.87,2022
21329,0.37,Ideal,E,VVS2,61.8,54.0,4.6,4.63,2.85,2022
21330,0.41,Good,G,VVS1,63.6,56.0,4.72,4.74,3.01,2022
